id,door buster,in stock,is online,launch date,has image,status code,status,Has Price,Price
40001,0,0,1,12/29/2015,1,2,In Progress,2,2.83
40002,0,1,0,12/24/2015,0,1,Not Started,2,4.16
40003,1,1,1,11/18/2015,1,1,Not Started,4,1024
40004,1,1,1,10/5/2015,0,4,-,3,8.65
40005,0,1,0,11/30/2015,1,3,Active,3,8.65
40006,0,0,1,12/29/2015,1,3,Active,3,32.08
40007,0,0,0,10/6/2015,1,3,Active,1,3
40008,0,0,0,12/23/2015,1,3,Active,4,21.26
40009,0,1,1,12/2/2015,1,1,Not Started,3,24
40010,0,0,1,12/1/2015,1,3,Active,0,0
40011,0,1,1,12/12/2015,1,3,Active,2,2
40012,0,0,1,10/17/2015,0,3,Active,3,192
40013,0,1,0,10/20/2015,1,4,-,3,5.77
40014,1,1,0,10/12/2015,0,4,-,2,3.68
40015,0,0,1,12/13/2015,0,4,-,4,17.31
40016,0,1,1,11/19/2015,1,3,Active,2,2
40017,1,1,0,10/16/2015,0,4,-,1,7
40018,0,1,0,12/4/2015,1,4,-,4,4
40019,1,0,0,12/24/2015,0,2,In Progress,4,64
40020,0,0,0,10/27/2015,0,1,Not Started,2,72
40021,0,1,1,10/20/2015,1,1,Not Started,4,1024
40022,0,1,0,11/11/2015,0,2,In Progress,0,0
40023,1,1,1,10/1/2015,1,1,Not Started,3,648
40024,1,0,0,10/25/2015,0,2,In Progress,3,2.88
40025,1,0,0,10/2/2015,0,1,Not Started,4,21.26
40026,1,0,1,12/30/2015,1,4,-,3,9
40027,0,0,1,12/5/2015,0,4,-,1,5
40028,0,0,1,12/3/2015,0,3,Active,1,1.41
40029,0,1,1,11/26/2015,0,3,Active,4,1024
40030,0,1,1,10/11/2015,0,2,In Progress,4,10.08
40031,0,0,1,10/29/2015,1,3,Active,4,13.57
40032,1,1,1,11/11/2015,1,3,Active,2,2
40033,0,1,1,11/29/2015,1,3,Active,4,9604
40034,0,1,0,11/15/2015,1,4,-,1,1.59
40035,1,1,1,12/19/2015,0,2,In Progress,2,98
40036,0,1,1,12/3/2015,1,2,In Progress,2,7.07
40037,1,0,1,10/15/2015,1,2,In Progress,0,0
40038,0,0,0,12/23/2015,1,2,In Progress,2,98
40039,0,1,1,12/25/2015,0,4,-,2,9.9
40040,0,0,1,12/30/2015,0,2,In Progress,2,7.07
40041,1,1,1,12/4/2015,1,2,In Progress,3,4.9
40042,1,1,0,11/2/2015,0,2,In Progress,4,18
40043,1,0,0,12/14/2015,1,4,-,1,6
40044,1,0,0,11/12/2015,1,2,In Progress,4,72
40045,0,0,1,10/28/2015,0,3,Active,3,25.46
40046,1,1,1,10/5/2015,0,4,-,3,81
40047,1,1,0,11/26/2015,0,1,Not Started,4,9604
40048,0,1,0,10/20/2015,1,1,Not Started,4,72
40049,1,0,0,10/5/2015,0,3,Active,0,0
40050,1,0,0,10/10/2015,0,3,Active,4,10.08
40051,0,1,0,12/8/2015,1,4,-,1,1.91
40052,0,0,1,12/5/2015,1,3,Active,1,2.24
40053,1,1,0,10/5/2015,0,3,Active,2,9.9
40054,0,0,1,10/18/2015,1,2,In Progress,3,8.65
40055,1,0,1,12/21/2015,1,1,Not Started,1,2.45
40056,0,1,1,10/14/2015,1,2,In Progress,4,4
40057,0,1,0,10/12/2015,1,2,In Progress,4,13.57
40058,1,0,0,11/4/2015,1,1,Not Started,0,0
40059,1,0,0,10/18/2015,0,2,In Progress,0,0
40060,1,0,1,10/18/2015,0,2,In Progress,1,1.73
40061,1,0,0,11/6/2015,1,3,Active,2,4.61
40062,0,1,1,10/15/2015,0,3,Active,0,0
40063,1,0,1,10/28/2015,1,1,Not Started,2,4.16
40064,1,0,1,12/22/2015,1,4,-,2,18
40065,0,0,0,11/13/2015,1,3,Active,4,6.87
40066,1,0,0,10/15/2015,0,4,-,0,0
40067,0,0,0,11/28/2015,0,2,In Progress,0,0
40068,1,1,1,10/20/2015,0,2,In Progress,1,2
40069,0,0,1,11/29/2015,1,1,Not Started,2,50
40070,0,1,0,10/5/2015,0,3,Active,4,98
40071,0,0,1,10/21/2015,1,2,In Progress,2,5.66
40072,1,1,0,12/24/2015,0,1,Not Started,3,8.65
40073,0,1,1,11/17/2015,0,2,In Progress,2,5.66
40074,0,1,0,10/2/2015,0,3,Active,4,6.87
40075,1,0,0,10/21/2015,0,4,-,2,2.83
40076,0,0,1,12/20/2015,1,1,Not Started,3,25.46
40077,0,0,0,12/11/2015,1,3,Active,0,0
40078,1,0,0,10/16/2015,1,3,Active,1,7
40079,0,1,1,10/16/2015,0,2,In Progress,2,18
40080,1,0,0,12/23/2015,1,2,In Progress,1,4
40081,0,1,0,12/16/2015,1,4,-,1,1.59
40082,0,0,0,10/26/2015,1,3,Active,4,13.57
40083,1,1,0,10/30/2015,0,1,Not Started,2,5.66
40084,0,1,0,10/9/2015,0,1,Not Started,1,1.91
40085,0,1,0,12/7/2015,0,2,In Progress,3,4.9
40086,1,0,1,10/11/2015,0,1,Not Started,0,0
40087,1,0,1,12/21/2015,0,4,-,1,1.26
40088,0,0,1,10/26/2015,0,3,Active,4,9604
40089,0,0,1,12/14/2015,0,1,Not Started,2,3.68
40090,1,0,1,12/28/2015,0,1,Not Started,1,6
40091,1,1,0,10/21/2015,1,4,-,1,1.44
40092,0,1,1,11/8/2015,0,3,Active,2,4.16
40093,1,1,0,11/22/2015,0,1,Not Started,1,1.73
40094,1,1,1,11/21/2015,0,1,Not Started,2,2
40095,1,1,1,10/5/2015,1,3,Active,4,8
40096,0,1,1,11/12/2015,0,4,-,4,32
40097,1,0,1,11/22/2015,0,4,-,1,2
40098,0,0,1,12/3/2015,1,2,In Progress,3,32.08
40099,0,0,1,12/21/2015,0,1,Not Started,2,7.07
40100,1,0,0,11/11/2015,0,1,Not Started,2,9.9
40101,0,1,1,12/22/2015,0,3,Active,3,25.46
40102,0,0,0,12/23/2015,1,2,In Progress,1,6
40103,1,0,1,10/28/2015,0,1,Not Started,2,4.61
40104,0,1,0,10/10/2015,1,3,Active,0,0
40105,1,1,0,11/20/2015,0,1,Not Started,0,0
40106,0,1,0,11/8/2015,0,2,In Progress,3,8.65
40107,0,1,0,10/12/2015,1,4,-,1,1.82
40108,1,1,0,11/14/2015,1,2,In Progress,0,0
40109,1,0,0,10/15/2015,1,1,Not Started,3,375
40110,1,1,1,12/18/2015,0,3,Active,3,1029
40111,0,0,1,11/17/2015,0,3,Active,3,19.36
40112,0,1,1,10/31/2015,0,1,Not Started,4,21.26
40113,1,0,1,10/18/2015,1,3,Active,1,1.26
40114,1,1,0,10/11/2015,1,3,Active,1,3
40115,0,1,1,11/18/2015,1,1,Not Started,3,8.65
40116,1,1,1,11/4/2015,0,3,Active,3,2.88
40117,1,1,1,11/5/2015,0,2,In Progress,3,375
40118,1,1,1,11/15/2015,0,3,Active,4,1024
40119,1,1,1,11/15/2015,1,1,Not Started,3,192
40120,1,1,1,11/19/2015,0,4,-,0,0
40121,0,0,0,10/8/2015,0,1,Not Started,1,2.45
40122,0,0,1,10/11/2015,1,3,Active,2,2
40123,0,1,1,11/6/2015,0,1,Not Started,1,2.65
40124,0,0,1,12/6/2015,1,3,Active,1,1.26
40125,0,0,1,11/27/2015,1,4,-,1,1.41
40126,1,0,0,10/6/2015,1,3,Active,1,1.73
40127,1,1,0,10/19/2015,0,1,Not Started,4,64
40128,1,1,0,12/13/2015,0,2,In Progress,0,0
40129,1,0,1,10/23/2015,0,4,-,4,50
40130,0,1,1,10/30/2015,1,4,-,1,1.82
40131,0,1,0,12/31/2015,1,1,Not Started,3,5.77
40132,0,1,0,11/27/2015,1,4,-,1,1.59
40133,0,1,0,12/24/2015,1,2,In Progress,4,9604
40134,1,0,1,12/9/2015,1,4,-,1,4
40135,0,0,0,10/31/2015,0,3,Active,3,375
40136,1,1,0,12/28/2015,1,3,Active,1,2.24
40137,0,0,1,11/1/2015,1,1,Not Started,4,32
40138,1,0,0,12/31/2015,0,2,In Progress,1,7
40139,0,0,1,11/21/2015,0,4,-,4,4
40140,1,1,1,11/14/2015,1,3,Active,4,8
40141,1,0,1,11/4/2015,0,4,-,1,6
40142,0,1,1,11/19/2015,0,2,In Progress,3,4.33
40143,0,0,0,11/25/2015,0,2,In Progress,1,1.73
40144,1,1,0,11/8/2015,1,3,Active,3,10.1
40145,0,1,0,11/26/2015,1,1,Not Started,1,3
40146,0,0,1,12/14/2015,0,1,Not Started,1,2.24
40147,1,1,0,12/13/2015,1,4,-,4,9604
40148,1,0,0,11/16/2015,0,1,Not Started,0,0
40149,0,1,0,12/5/2015,1,1,Not Started,2,9.9
40150,0,0,1,12/22/2015,0,4,-,4,8
40151,1,0,1,12/6/2015,0,4,-,3,4.9
40152,0,1,1,11/15/2015,1,2,In Progress,1,1.73
40153,1,1,0,10/29/2015,0,1,Not Started,3,24
40154,1,0,0,11/2/2015,1,4,-,4,8
40155,1,1,0,11/22/2015,1,3,Active,1,1.71
40156,0,1,1,10/1/2015,1,1,Not Started,2,32
40157,0,1,0,12/24/2015,1,1,Not Started,4,98
40158,0,0,0,11/7/2015,0,4,-,2,2.83
40159,1,0,0,10/18/2015,1,3,Active,2,2.83
40160,0,0,1,11/2/2015,0,4,-,2,4.16
40161,0,0,0,12/9/2015,0,4,-,1,1.44
40162,0,1,0,11/22/2015,0,4,-,3,25.46
40163,0,0,1,12/18/2015,0,3,Active,0,0
40164,0,1,0,10/29/2015,1,3,Active,0,0
40165,1,1,1,12/3/2015,0,1,Not Started,0,0
40166,0,0,0,10/17/2015,1,4,-,0,0
40167,0,1,0,10/18/2015,1,3,Active,3,19.36
40168,0,0,0,11/18/2015,1,1,Not Started,0,0
40169,0,1,0,12/6/2015,1,2,In Progress,4,1024
40170,0,1,1,10/12/2015,0,3,Active,0,0
40171,0,0,0,10/24/2015,0,4,-,3,648
40172,0,1,0,12/15/2015,1,3,Active,0,0
40173,0,0,1,12/22/2015,0,2,In Progress,3,9
40174,0,0,1,11/8/2015,1,3,Active,0,0
40175,0,1,1,12/24/2015,0,1,Not Started,1,1.73
40176,0,0,1,11/29/2015,0,4,-,0,0
40177,1,0,0,10/21/2015,0,3,Active,0,0
40178,0,1,1,12/21/2015,0,1,Not Started,2,3.68
40179,0,1,1,12/18/2015,0,4,-,2,32
40180,0,0,1,12/2/2015,1,3,Active,3,5.77
40181,0,0,1,10/12/2015,1,3,Active,1,1.71
40182,1,1,1,11/22/2015,0,4,-,4,4
